Subject,Course Number,Name,Credits
KIN,4070,Advanced Exercise Physiology,3
KIN,4080,Obesity and Weight Management,3
KIN,4100,ECG Interpretation,3
KIN,4400,Evaluation of Musculoskeletal Injuries,3
KIN,4410,Therapeutic Exercise and Rehabilitation,3
KIN,4450,Therapeutic Modalities,3
KIN,4800,Studies in Exercise Sciences,3
KIN,4890,Internship 1-8 Credit(s) (student must obtain 3 credits from this course to meet course requirements),1
NFS,3020,Nutrition as Related to Fitness and Sports,3
PE,4740,Coaching Leadership and Administration,3
PE,4750,Psycho-Social Aspects of Athletics,3
