Subject,Course Number,Name,Credits
CM,1000,Construction Plans,3
CM,1290,Electrical Systems,3
CM,2020,Residential Construction Materials and Methods,3
CM,2030,Commercial Construction Materials,3
CM,2040,Construction Materials and Testing,3
CM,2050,Concrete and Masonry,3
CM,3240,Estimating and Bidding,3
CM,3270,Building Codes and Ethics,3
CM,3880,Planning and Scheduling,3
CM,4000,Sustainable Practices and Design,3
CM,4150,Soils and Foundations Design and Construction,3
CM,4240,Advanced Estimating and Bidding,3
CM,4300,Construction Project Management Leadership,3
CM,4400,Mechanical Systems,3
CM,4550,Construction Safety,3
CM,4600,"Heavy Civil Construction Design, Methods, and Equipment",3
CM,4880,Construction Documents and Administration,3
CM,4900,Capstone Project,3
