Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
ACCT,Major in Accounting,,OK,OK,OK,OK,OK,OK
BE,Major in Business Education,,OK,OK,OK,OK,OK,OK
ECON,Major in Economics,,OK,OK,OK,OK,OK,OK
ANLY,Business Analytics Concentration,,OK,OK,OK,OK,OK,OK
FIN,Major in Finance,,OK,OK,OK,OK,OK,OK
HRHM,"Major in Hotel, Resort & Hospitality Mgmt",,OK,OK,OK,OK,OK,OK
EVNT,Event Planning and Management Concentration,,OK,OK,OK,OK,OK,OK
FABM,Food and Beverage Management Concentration,,OK,OK,OK,OK,OK,OK
LODG,Lodging Management Concentration,,OK,OK,OK,OK,OK,OK
MGMT,Major in Management,,OK,OK,OK,OK,OK,OK
MKTG,Major in Marketing,,OK,OK,OK,OK,OK,OK
,,,,,,,,
MINORS,,,,,,,,
ACCT,Minor in Accounting,,OK,OK,OK,OK,OK,OK
ANLY,Minor in Business Analytics,,,,OK,OK,OK,OK
ECON,Minor in Economics,,OK,OK,OK,OK,OK,OK
ENTR,Minor in Entrepreneurship,,,,,OK,OK,OK
EVNT,Minor in Event Planning and Management,,OK,OK,OK,OK,OK,OK
FIN,Minor in Finance,,OK,OK,OK,OK,OK,OK
HRHM,"Minor in Hotel, Resort & Hospitality Mgmt",,OK,OK,OK,OK,OK,OK
MGMT,Minor in Management,,OK,OK,OK,OK,OK,OK
MILS,Minor in Military Science,,OK,OK,OK,OK,OK,OK
MKED,Minor in Marketing Education,,OK,OK,OK,OK,OK,OK
MKTG,Minor in Marketing,,OK,OK,OK,OK,OK,OK
PSAL,Minor in Professional Sales,,,,,OK,OK,OK
