Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
AERO,Major in Aerospace/Aviation Sciences,,OK,OK,OK,OK,OK,OK
FXWG,Fixed-Wing Pilot Concentration,,OK,OK,OK,OK,OK,OK
RTWG,Rotor-Wing Pilot Concentration,,OK,OK,OK,OK,OK,OK
AVAL,Major in Aviation Administration and Leadership,,,,OK,OK,OK,OK
CIEN,Major in Civil Engineering,,,,,OK,OK,OK
CENG,Construction Engineering Concentration,,,,,,,OK
ENEN,Environmental Engineering Concentration,,,,,,,OK
WRE,Water Resources Engineering Concentration,,,,,,,OK
CNMT,Major in Construction Management,,OK,OK,OK,OK,OK,OK
CS,Major in Computer Science,,OK,OK,OK,OK,OK,OK
CYBR,Major in Cybersecurity,,,,OK,OK,OK,OK
DATA,Major in Data Science,,,,,,,OK
ELEN,Major in Electrical Engineering,,,,,,,OK
ENTC,Major in Engineering Technology,,OK,OK,OK,OK,OK,OK
ARCD,CAD Architectural/Civil Design Concentration,,OK,OK,OK,OK,OK,OK
CCET,CAD/CAM Concentration,,OK,OK,OK,OK,OK,OK
EET,Electronics Concentration,,OK,OK,OK,,,
ELMC,Electromechanical Concentration,,,,,OK,OK,OK
FITC,Major in Financial Technology,,,,,,,OK
IENG,Major in Engineering,,OK,OK,OK,,,
CIVE,Civil Engineering Concentration,,,,OK,,,
ELCE,Electrical Engineering Concentration,,,,OK,,,
IS,Major in Information Systems,,OK,OK,,,,
CYBR,Cybersecurity Concentration,,OK,OK,,,,
MIS,Management Information Systems Concentration,,OK,OK,,,,
NETA,Network Administration Concentration,,OK,OK,,,,
MATH,Major in Mathematical Science,,OK,OK,OK,OK,,
ACT,Actuarial Science Concentration,,OK,OK,OK,OK,,
APPL,Applied Mathematics Concentration,,OK,OK,OK,OK,,
PURE,Pure Mathematics Concentration,,OK,OK,OK,OK,,
MEEN,Major in Mechanical Engineering,,OK,OK,OK,OK,OK,OK
MTHS,Major in Mathematics,,,,,,OK,OK
ACT,Actuarial Science Concentration,,,,,,OK,OK
APPL,Applied Mathematics Concentration,,,,,,OK,OK
PURE,Pure Mathematics Concentration,,,,,,OK,OK
MTHT,Major in Mathematics Education,,OK,OK,OK,OK,OK,OK
SOFD,Major in Software Development,,,,,,,OK
,,,,,,,,
MINORS,,,,,,,,
CCT,Minor in Engr Tech: CAD/CAM,,OK,OK,OK,OK,OK,OK
CNCT,Minor in Construction Technology,,OK,OK,OK,OK,OK,OK
CS,Minor in Computer Science,,OK,OK,OK,OK,OK,OK
CST,Minor in Computer Science Teacher Education,,OK,OK,OK,OK,,
CYBR,Minor in Cybersecurity,,,,,OK,OK,OK
ET,Minor in Engr Tech: Electronics,,OK,OK,OK,OK,OK,OK
INTY,Minor in Information Technology,,,,,,OK,OK
IS,Minor in Information Systems,,OK,OK,OK,OK,,
MTHS,Minor in Mathematics,,OK,OK,OK,OK,OK,OK
MTHT,Minor in Mathematics Education,,OK,OK,OK,OK,OK,OK
