Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
ANTH,Major in Anthropology,,OK,OK,OK,OK,OK,OK
BGS,Major in General Studies BGS,,,,OK,OK,OK,OK
CJ,Major in Criminal Justice,,OK,OK,OK,OK,OK,OK
GEN,General Concentration,,OK,,,,,
FRSC,Forensic Concentration,,OK,,,,,
COMC,Major in Communication Composite,,OK,OK,OK,OK,OK,OK
COMS,Communication Studies Concentration,,OK,,,,,
MBMD,"New Media, Branding, and Message Design Concentration",,,,,OK,OK,OK
MEDA,Media Studies Concentration,,OK,OK,OK,OK,OK,OK
MHUI,Messaging & Human Interaction Concentration,,,OK,OK,OK,OK,OK
SMHI,Strategic Message & Human Interaction Concentration,,,OK,OK,,,
SPCO,Sports Communication Concentration,,,,,,OK,OK
STCO,Strategic Communication Concentration,,OK,OK,OK,OK,OK,OK
COMM,Major in Communication,,OK,OK,OK,OK,OK,OK
COMS,Communication Studies Concentration,,OK,,,,,
MBMD,"New Media, Branding, and Message Design Concentration",,,,,OK,OK,OK
MEDA,Media Studies Concentration,,OK,OK,OK,OK,OK,OK
MHUI,Messaging & Human Interaction Concentration,,,OK,OK,OK,OK,OK
SMHI,Strategic Message & Human Interaction Concentration,,,OK,OK,,,
SPCO,Sports Communication Concentration,,,,,,OK,OK
STCO,Strategic Communication Concentration,,OK,OK,OK,OK,OK,OK
ENGL,Major in English,,OK,OK,OK,OK,OK,OK
CW,Creative Writing Concentration,,OK,OK,OK,OK,OK,OK
LIT,Literature Concentration,,OK,OK,OK,OK,OK,OK
RHET,Rhetoric and Writing,,OK,OK,OK,OK,OK,OK
ENGT,Major in English Education,,OK,OK,OK,OK,OK,OK
CW,Creative Writing/Teaching Concentration,,OK,,,,,
TE,Teaching Concentration,,OK,,,,,
FREN,Major in French,,OK,OK,OK,OK,OK,OK
FRET,Major in French Education,,OK,OK,OK,OK,OK,OK
GENS,Major in Exploratory Studies,,OK,OK,OK,OK,OK,OK
GS,Major in General Studies BA/BS,,OK,OK,OK,OK,OK,OK
HIST,Major in History,,OK,OK,OK,OK,OK,OK
HSTT,Major in History Education,,OK,OK,OK,OK,OK,OK
PHIL,Major in Philosophy,,OK,OK,OK,OK,OK,OK
POSC,Major in Political Science,,OK,OK,OK,OK,OK,OK
PSY,Major in Psychology,,OK,OK,OK,OK,OK,OK
HSER,Human Services Concentration,,OK,OK,OK,OK,OK,OK
SOC,Major in Sociology,,OK,OK,OK,OK,OK,OK
SOSC,Major in Social Science Teaching Comp,,OK,OK,OK,OK,OK,
SPAN,Major in Spanish,,OK,OK,OK,OK,OK,OK
SPAT,Major in Spanish Education,,OK,OK,OK,OK,OK,OK
SSEC,Major in Social Studies Education Composite,,,,,,,OK
USLI,Major in Interdisciplinary Studies,,OK,OK,OK,OK,OK,OK
,,,,,,,,
MINORS,,,,,,,,
ACEN,Minor in Academic English,,,,OK,OK,OK,OK
ANTH,Minor in Anthropology,,OK,OK,OK,OK,OK,OK
CHIN,Minor in Chinese,,,,,,OK,OK
CJ,Minor in Criminal Justice,,OK,OK,OK,OK,OK,OK
COMM,Minor in Communication,,OK,OK,OK,OK,OK,OK
ENCW,Minor in Creative Writing,,OK,OK,OK,OK,OK,OK
ENGL,Minor in English Literature,,OK,OK,OK,OK,OK,OK
ENGT,Minor in English Education,,OK,OK,OK,OK,OK,OK
ETHN,Minor in Ethnic Studies,,OK,OK,OK,OK,OK,OK
FILM,Minor in Film and Screen Studies,,OK,OK,OK,OK,OK,OK
FREN,Minor in French,,OK,OK,OK,OK,OK,OK
GERM,Minor in German,,OK,OK,OK,OK,OK,OK
GBST,Minor in Global Studies,,,OK,OK,OK,OK,OK
HIST,Minor in History,,OK,OK,OK,OK,OK,OK
HSTT,Minor in History Education,,OK,OK,OK,OK,OK,OK
LGLS,Minor in Legal Studies,,OK,OK,OK,OK,OK,OK
PHIL,Minor in Philosophy,,OK,OK,OK,OK,OK,OK
PLNP,Minor in Public Lands and National Parks Studies,,,,,,OK,OK
POSC,Minor in Political Science,,OK,OK,OK,OK,OK,OK
PSY,Minor in Psychology,,OK,OK,OK,OK,OK,OK
SOC,Minor in Sociology,,OK,OK,OK,OK,OK,OK
SPAN,Minor in Spanish,,OK,OK,OK,OK,OK,OK
SUST,Minor in Sustainability Studies,,OK,OK,OK,OK,OK,OK
WGS,Minor in Women and Gender Studies,,OK,OK,OK,OK,OK,OK
