Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
ART,Major in Art,,OK,OK,OK,OK,OK,OK
ARTH,Major in Art History,,OK,OK,OK,OK,OK,OK
ARTT,Major in Art Education,,OK,OK,OK,OK,OK,OK
COMU,Major in Commercial Music,,,,,OK,OK,OK
DNCE,Major in Dance,,OK,OK,OK,OK,OK,OK
DNCT,Major in Dance Education,,OK,OK,OK,OK,OK,OK
FLMM,Major in Filmmaking,,,,,OK,OK,OK
GRDS,Major in Graphic Design,,OK,OK,OK,OK,OK,OK
UXUI,UX/UI Concentration,,,,,,OK,OK
MUS,Major in Music BA,,,,,,OK,OK
MUSC,Major in Music BA,,OK,OK,OK,OK,,
MUSC,Major in Music BMU,,OK,OK,OK,OK,OK,OK
INSP,Instrumental Performance Concentration,,OK,OK,OK,OK,OK,OK
PIPR,Piano Performance Concentration,,OK,OK,OK,OK,OK,OK
VOCP,Vocal Performance Concentration,,OK,OK,OK,OK,OK,OK
MUST,Major in Music Education,,OK,OK,OK,OK,OK,OK
SCHV,Secondary Choral Concentration,,OK,OK,OK,OK,OK,OK
SINS,Secondary Instrumental Concentration,,OK,OK,OK,OK,OK,OK
MUTH,Major in Musical Theatre,,,,OK,OK,OK,OK
PFLM,Pre-Filmmaking,,,,,,,OK
STDA,Major in Studio Arts,,OK,OK,OK,OK,OK,OK
CERC,Ceramics Concentration,,OK,OK,OK,OK,OK,OK
CERM,Ceramics and Sculpture Concentration,,,,,,,
ILL,Illustration Concentration,,OK,OK,OK,OK,OK,OK
PAIN,Painting/Drawing/Printmaking Concentration,,OK,OK,OK,OK,OK,OK
PHTO,Photography Concentration,,OK,OK,OK,OK,OK,OK
TA,Major in Theatre Arts BA/BS,,OK,OK,OK,OK,OK,OK
TA,Major in Theatre Arts BFA,,OK,OK,,,,
CLAC,Classical Acting Concentration,,OK,OK,,,,
MUT,Musical Theatre Concentration,,OK,OK,,,,
TDT,Theatre Design & Technology Concentration,,OK,OK,,,,
TACT,Major in Acting,,,,OK,OK,OK,OK
TAT,Major in Theatre Arts Education,,OK,OK,OK,OK,OK,OK
TDP,Major in Theatre Design & Production,,,,OK,OK,OK,OK
,,,,,,,,
MINORS,,,,,,,,
AA,Minor in Arts Administration,,OK,OK,OK,OK,OK,OK
ART,Minor in Art,,OK,OK,OK,OK,OK,OK
ARTH,Minor in Art History,,OK,OK,OK,OK,OK,OK
ARTT,Minor in Art Education,,OK,OK,OK,OK,OK,OK
CERC,Minor in Ceramics,,OK,OK,OK,OK,OK,OK
DNCE,Minor in Dance,,OK,OK,OK,OK,OK,OK
GRDS,Minor in Graphic Design,,OK,OK,OK,OK,OK,OK
ILL,Minor in Illustration,,OK,OK,OK,OK,OK,OK
MUS,Minor in Music,,,,,,OK,OK
MUSC,Minor in Music,,OK,OK,OK,OK,,
MUSE,Minor in Museum Studies,,OK,OK,OK,OK,OK,OK
PAIN,Minor in Painting/Drawing/Printmaking,,OK,OK,OK,OK,OK,OK
PHTO,Minor in Photography,,OK,OK,OK,OK,OK,OK
SST,Minor in Shakespeare Studies,,OK,OK,OK,OK,OK,OK
TA,Minor in Theatre Arts,,OK,OK,OK,OK,OK,OK
