Subject,Course Number,Name,Credits
THEA,1033,Acting I: Introduction to Acting,3
THEA,1113,Voice and Diction I,3
THEA,1713,Script Analysis,3
THEA,1813,Design Analysis,3
THEA,2713,Dramatic Literature,3
THEA,3613,Directing I,3
THEA,3713,Theatre History: The Classic Theatre,3
THEA,3723,"Theatre History: Realism, Post-Realistic, and Contemporary Theatre",3
THEA,4890,Internship 3-12 Credit(s),12
DANC,2080,Improvisation,1
THEA,1041,Performance Seminar,1
THEA,1221,Make-Up for the Actor,1
THEA,1613,Theatrical Production,3
THEA,1641,Theatrical Production Lab,1
THEA,2033,Acting II,3
THEA,2112,Movement I,2
THEA,3033,Acting III: Shakespeare,3
THEA,3212,Movement II,2
THEA,4140,Rehearsal and Performance 1-3 Credit(s) (must take for minimum of 5 credits),3
THEA,4412,Acting VI: Professional Portfolio,3
THEA,4471,BFA Showcase,3
DANC,1100,Ballet I,1
DANC,1170,Social Dance,1
DANC,1200,Modern Dance I,1
DANC,1500,Jazz Dance I,1
THEA,2113,Voice and Diction II,3
THEA,2513,Theatrical Design,3
THEA,3123,Acting IV: Classical I,3
THEA,4102,Movement III: Suzuki Training,2
THEA,4133,Stage Combat,2
THEA,4153,Acting V: Classical II,3
THEA,4611,Directing II Lab,1
THEA,4613,Directing II: Methods Approach,3
