Subject,Course Number,Name,Credits
AVTN,1040,Aviation Orientation,1
AVTN,1760,Aviation Safety,3
AVTN,3430,Aeronautical Decision Making - Crew Resource Management,3
AVTN,3520,"Quality, Innovation, and Systems Thinking in Aviation Administration",3
AVTN,3510,Strategic Thinking and Lean Management in Aviation Administration,3
AVTN,4500,Systems Capstone in Aviation Administration,3
AVTN,3160,Aviation Law,3
AVTN,3750,Fixed Base Operations Management,3
AVTN,3780,Corporate Flight Department Management,3
AVTN,4020,Aviation Economics,3
AVTN,4510,Aviation Maintenance Management,3
AVTN,4570,Principles of Leadership in Aviation,3
AVTN,4650,Airport Management,3
AVTN,4670,Airline Management,3
ACCT,2010,Accounting Principles,3
ECON,2010,Principles of Microeconomics,3
MATH,1040,Statistical Inference  * (can be used to fulfill General Education Quantitative Literacy requirement),4
MGMT,3180,Management and Organizations,3
ENTR,3210,Entrepreneurship,3
HRHM,2000,Introduction to Hospitality Management,3
HRHM,3610,Strategic Customer Service,3
MGMT,3050,International Business,3
MGMT,3240,Human Resource Management,3
MGMT,3340,Employment Law,3
MGMT,3600,Project Management,3
MGMT,4100,Organizational Behavior and Leadership,3
MGMT,4200,"Business, Government, and Ethics",3
