Subject,Course Number,Name,Credits
BIOL,1610,General Biology I (can be used to fulfill General Education Life Sciences Breadth Area),3
BIOL,1615,General Biology Lab I,1
BIOL,1620,General Biology II,3
BIOL,1625,General Biology Lab II,1
BIOL,3010,General Microbiology,3
BIOL,3015,General Microbiology Lab,1
BIOL,3030,Ecology,3
BIOL,3035,Ecology Lab,1
BIOL,3060,Genetics,3
BIOL,3065,Genetics Lab,1
BIOL,3110,Evolution,3
BIOL,3250,Histology,3
BIOL,3255,Histology Lab,1
BIOL,3270,Vertebrate Physiology,3
BIOL,3275,Vertebrate Physiology Lab,1
BIOL,3290,Developmental Biology,3
BIOL,3295,Developmental Biology Lab,1
BIOL,3310,Cell and Molecular Biology,3
BIOL,3315,Cell and Molecular Biology Lab,1
BIOL,3450,Comparative Vertebrate Studies,3
BIOL,3455,Comparative Vertebrate Studies Lab,1
BIOL,3470,Herpetology,3
BIOL,3475,Herpetology Lab,1
BIOL,3490,Ornithology,3
BIOL,3495,Ornithology Lab,1
BIOL,3370,Ichthyology,3
BIOL,3375,Ichthyology Lab,1
BIOL,3390,Mammalogy,3
BIOL,3395,Mammalogy Lab,1
BIOL,3400,Primatology,3
BIOL,3410,Invertebrate Zoology,3
BIOL,3415,Invertebrate Zoology Lab,1
BIOL,3430,Entomology,3
BIOL,3435,Entomology Lab,1
BIOL,4400,Neurobiology,3
BIOL,4410,Animal Behavior,3
BIOL,4650,Capstone: Conservation Biology,3
BIOL,3510,Plant Anatomy and Diversity,3
BIOL,3515,Plant Anatomy and Diversity Lab,1
BIOL,3520,Fungi and Plant Pathology,3
BIOL,3530,Plant Physiology,3
BIOL,3535,Plant Physiology Lab,1
BIOL,3550,Plant Taxonomy,3
BIOL,3555,Plant Taxonomy Lab,1
BIOL,3630,Freshwater Biology,3
BIOL,3635,Freshwater Biology Lab,1
BIOL,4220,Capstone: Plant Defenses and Medical Botany,3
CHEM,1210,Principles of Chemistry I (can be used to fulfill General Education Physical Sciences Breadth Area),4
CHEM,1215,Principles of Chemistry I Lab,1
CHEM,1220,Principles of Chemistry II,4
CHEM,1225,Principles of Chemistry II Lab,1
CHEM,2310,Organic Chemistry I,4
CHEM,2315,Organic Chemistry I Lab,1
CHEM,2320,Organic Chemistry II,4
CHEM,2325,Organic Chemistry II Lab,1
GEO,1110,Exploring Earth: Introduction to Geology (can be used to fulfill General Education Physical Sciences Breadth Area),3
GEO,1115,Fundamentals of Geology Lab,1
MATH,1050,College Algebra * (can be used to fulfill General Education Quantitative Literacy),4
PHYS,1040,Elementary Astronomy (can be used to fulfill General Education Physical Sciences Breadth Area),3
PHYS,1045,Elementary Astronomy Lab,1
BIOL,4900,Biology Teaching Methods,3
BIOL,4980,Student Teaching in Biology,3
PSCI,4870,3D Science Secondary Education,2
BIOL,4840,Cooperative Education 1-3 Credit(s),3
BIOL,4850,Undergraduate Research 1-9 Credit(s),9
BIOL,4890,Internship 1-9 Credit(s),9
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
SCED,3180,Instructional Technology for Teaching and Learning 2-3 Credit(s),3
SCED,3720,Content Area Literacy and Utah Core,2
SCED,3570,Secondary Classroom Management,3
SCED,3590,"Instructional Planning, Delivery, and Assessment",3
SCED,4520,Practicum/Induction Seminar,3
SCED,4980,Secondary Student Teaching,6
