Subject,Course Number,Name,Credits
BIOL,1610,General Biology I,3
BIOL,1615,General Biology Lab I,1
BIOL,1620,General Biology II,3
BIOL,1625,General Biology Lab II,1
BIOL,3010,General Microbiology,3
BIOL,3015,General Microbiology Lab,1
BIOL,3030,Ecology,3
BIOL,3035,Ecology Lab,1
BIOL,3060,Genetics,3
BIOL,3065,Genetics Lab,1
BIOL,3110,Evolution,3
MATH,1040,Statistical Inference,4
MATH,1210,Calculus I,4
CHEM,1110,Elementary Chemistry,3
CHEM,1115,Elementary Chemistry Lab,1
CHEM,1120,Elementary Organic Bio-Chemistry,5
CHEM,1125,Elementary Organic Bio-Chemistry Lab,1
CHEM,1210,Principles of Chemistry I,4
CHEM,1215,Principles of Chemistry I Lab,1
CHEM,1220,Principles of Chemistry II,4
CHEM,1225,Principles of Chemistry II Lab,1
CHEM,2310,Organic Chemistry I,4
CHEM,2315,Organic Chemistry I Lab,1
CHEM,2320,Organic Chemistry II,4
CHEM,2325,Organic Chemistry II Lab,1
BIOL,3050,Biomedical Ethics,3
BIOL,3230,Cadaver Practicum,2
BIOL,3250,Histology,3
BIOL,3255,Histology Lab,1
BIOL,3270,Vertebrate Physiology,3
BIOL,3275,Vertebrate Physiology Lab,1
BIOL,3290,Developmental Biology,3
BIOL,3295,Developmental Biology Lab,1
BIOL,3310,Cell and Molecular Biology,3
BIOL,3315,Cell and Molecular Biology Lab,1
BIOL,3350,Immunology,3
BIOL,3370,Ichthyology,3
BIOL,3375,Ichthyology Lab,1
BIOL,3390,Mammalogy,3
BIOL,3395,Mammalogy Lab,1
BIOL,3410,Invertebrate Zoology,3
BIOL,3415,Invertebrate Zoology Lab,1
BIOL,3430,Entomology,3
BIOL,3435,Entomology Lab,1
BIOL,3450,Comparative Vertebrate Studies,3
BIOL,3455,Comparative Vertebrate Studies Lab,1
BIOL,3470,Herpetology,3
BIOL,3475,Herpetology Lab,1
BIOL,3490,Ornithology,3
BIOL,3495,Ornithology Lab,1
BIOL,3510,Plant Anatomy and Diversity,3
BIOL,3515,Plant Anatomy and Diversity Lab,1
BIOL,3520,Fungi and Plant Pathology,3
BIOL,3530,Plant Physiology,3
BIOL,3535,Plant Physiology Lab,1
BIOL,3550,Plant Taxonomy,3
BIOL,3555,Plant Taxonomy Lab,1
BIOL,3630,Freshwater Biology,3
BIOL,3635,Freshwater Biology Lab,1
BIOL,3710,Greenhouse Practicum I,1
BIOL,3715,Greenhouse Practicum I Lab,1
BIOL,4070,Capstone: History and Literature of Biology,3
BIOL,4220,Capstone: Plant Defenses and Medical Botany,3
BIOL,4400,Neurobiology,3
BIOL,4410,Animal Behavior,3
BIOL,4500,Capstone: Biology of Disease,3
BIOL,4650,Capstone: Conservation Biology,3
BIOL,4840,Cooperative Education 1-3 Credit(s),3
BIOL,4850,Undergraduate Research 1-9 Credit(s),9
BIOL,4890,Internship 1-9 Credit(s),9
