Subject,Course Number,Name,Credits
BIOL,1610,General Biology I (can be used to fulfill General Education Life Sciences Breadth Area),3
BIOL,1615,General Biology Lab I,1
BIOL,1620,General Biology II,3
BIOL,1625,General Biology Lab II,1
BIOL,3030,Ecology,3
BIOL,3035,Ecology Lab,1
BIOL,3060,Genetics,3
BIOL,3065,Genetics Lab,1
BIOL,3110,Evolution,3
CHEM,1110,Elementary Chemistry (can be used to fulfill General Education Physical Sciences Breadth Area),3
CHEM,1115,Elementary Chemistry Lab,1
CHEM,1120,Elementary Organic Bio-Chemistry,5
CHEM,1125,Elementary Organic Bio-Chemistry Lab,1
GEO,1110,Exploring Earth: Introduction to Geology (can be used to fulfill General Education Physical Sciences Breadth Area),3
GEO,1115,Fundamentals of Geology Lab,1
GEOG,3220,Weather and Climate,3
GEOG,3225,Weather and Climate Lab,1
MATH,1050,College Algebra * (can be used to fulfill General Education Quantitative Literacy),4
PHYS,1040,Elementary Astronomy (can be used to fulfill General Education Physical Sciences Breadth Area),3
PHYS,1045,Elementary Astronomy Lab,1
BIOL,4900,Biology Teaching Methods,3
BIOL,4980,Student Teaching in Biology,3
PSCI,4870,3D Science Secondary Education,2
BIOL,4840,Cooperative Education 1-3 Credit(s),3
BIOL,4850,Undergraduate Research 1-9 Credit(s),9
BIOL,4890,Internship 1-9 Credit(s),9
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
SCED,3180,Instructional Technology for Teaching and Learning 2-3 Credit(s),3
SCED,3720,Content Area Literacy and Utah Core,2
SCED,3570,Secondary Classroom Management,3
SCED,3590,"Instructional Planning, Delivery, and Assessment",3
SCED,4520,Practicum/Induction Seminar,3
SCED,4980,Secondary Student Teaching,6
