Subject,Course Number,Name,Credits
CHEM,1210,Principles of Chemistry I,4
CHEM,1215,Principles of Chemistry I Lab,1
CHEM,1220,Principles of Chemistry II,4
CHEM,1225,Principles of Chemistry II Lab,1
CHEM,2010,Chemical Lab Safety,1
CHEM,2310,Organic Chemistry I,4
CHEM,2315,Organic Chemistry I Lab,1
CHEM,2320,Organic Chemistry II,4
CHEM,2325,Organic Chemistry II Lab,1
CHEM,3000,Quantitative Analysis,3
CHEM,3005,Quantitative Analysis Lab,1
CHEM,3160,Intermediate Inorganic Chemistry,3
CHEM,3610,Physical Chemistry-Thermodynamics and Kinetics (requires MATH 1220 as a prerequisite),3
CHEM,3615,Physical Chemistry-Thermodynamics and Kinetics Lab,1
CHEM,3620,Physical Chemistry-Quantum Chemistry and Spectroscopy (requires MATH 1220 as a prerequisite),3
CHEM,3625,Physical Chemistry-Quantum Chemistry and Spectroscopy Lab,1
CHEM,4110,Biochemistry I,4
CHEM,4120,Biochemistry II,4
CHEM,4125,Biochemistry Lab,1
CHEM,4160,Advanced Inorganic Chemistry,3
CHEM,4165,Advanced Inorganic Chemistry Lab,1
CHEM,4230,Instrumental Analysis,3
MATH,1050,College Algebra * (can be used to fulfill General Education Quantitative Literacy requirement),4
MATH,1210,Calculus I * (can be used to fulfill General Education Quantitative Literacy requirement),4
PSCI,4870,3D Science Secondary Education,2
PSCI,4900,Teaching Science in Secondary Schools,2
PSCI,4980,Student Teaching in Physical Science,3
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
SCED,3180,Instructional Technology for Teaching and Learning 2-3 Credit(s),3
SCED,3720,Content Area Literacy and Utah Core,2
SCED,3570,Secondary Classroom Management,3
SCED,3590,"Instructional Planning, Delivery, and Assessment",3
SCED,4520,Practicum/Induction Seminar,3
SCED,4980,Secondary Student Teaching,6
