Subject,Course Number,Name,Credits
MUSC,0990,Recital Attendance (8 semesters of SUU attendance),0
MUSC,1110,Music Theory I,3
MUSC,1120,Music Theory II,3
MUSC,1130,Aural Skills I,1
MUSC,1140,Aural Skills II,1
MUSC,1180,Survey of Music Technology,3
MUSC,2110,Music Theory III,3
MUSC,2120,Music Theory IV,3
MUSC,2130,Aural Skills III,1
MUSC,2140,Aural Skills IV,1
MUSC,2350,Fundamentals of Conducting,2
MUSC,3540,Jazz Music History,3
MUSC,3550,Popular Music History,3
MUSC,3560,Survey of Classical Music,3
MUSC,1410,Individual Applied Music Instruction (course must be repeated once),2
MUSC,2160,Songwriting I,2
MUSC,2410,Individual Applied Music Instruction (course must be repeated once),2
MUSC,3150,Recording Studio Operations,3
MUSC,3160,Songwriting II,3
MUSC,3323,Audio Recording I,3
MUSC,3390,Alternate Currents Performance Ensemble 0-1 Credit(s) (course must be taken six semesters),1
MUSC,3410,Individual Applied Music Instruction (course must be repeated once),2
MUSC,3800,Junior Recital,0
MUSC,3970,The Entrepreneurial Musician,1
MUSC,4323,Audio Recording II,3
MUSC,4410,Individual Applied Music Instruction (course must be repeated once),2
MUSC,4800,Senior Recital,0
MUSC,3320,Wind Symphony 0-1 Credit(s),1
MUSC,3350,Opus Chamber Choir 0-1 Credit(s),1
MUSC,3360,Concert Choir 0-1 Credit(s),1
MUSC,3380,Symphony Orchestra 0-1 Credit(s),1
FILM,1100,Personal Cinema,3
FILM,2400,Sound for the Screen,3
FILM,4150,Topics in Filmmaking,3
MUSC,2150,Improvisation I,3
MUSC,3070,Form and Analysis,3
MUSC,3330,Jazz Ensemble 0-1 Credit(s),1
MUSC,3553,Digital Music Notation,3
MUSC,4060,Orchestration and Arranging,3
MUSC,4303,Applications in Live Sound,3
MUSC,4353,Music Business and Brand Promotion,3
MUSC,4420,Commercial Composition,3
MUSC,4440,Advanced Audio Productions,3
