Subject,Course Number,Name,Credits
CJ,1010,Introduction to Criminal Justice,3
CJ,1300,Introduction to Corrections,3
CJ,1330,Criminal Law,3
CJ,1340,Criminal Investigation,3
CJ,2350,Laws of Evidence,3
CJ,1350,Introduction to Forensic Science,3
CJ,2330,Juvenile Justice,3
POLS,1100,American National Government,3
POLS,2100,Introduction to International Relations,3
POLS,2300,Introduction to Political Thought,3
PSY,1010,General Psychology,3
PSY,3200,Psychology of Culture,3
PSY,3250,Introduction to Psychology of Gender,3
SOC,1010,Introduction to Sociology,3
SOC,3000,Social Inequality and Justice,3
SOC,3370,Gender and Society in Global Perspectives,3
