Subject,Course Number,Name,Credits
DANC,1000,Conditioning and Somatics (Fall),1
DANC,1520,Cross-Cultural Dance (Fall),1
DANC,2080,Improvisation,1
DANC,2300,Dance Production and Design (Spring - Even Years),3
DANC,2315,Dance Production and Design Lab (Spring - Even Years),1
DANC,2510,Dance Composition I (Spring),2
DANC,3010,Sound for Movement (Spring - Odd Years),3
DANC,3050,Dance Kinesiology (Spring - Odd Years),3
DANC,3080,Contact Improvisation (Fall),1
DANC,3500,Dance History I (Fall - Odd Years),3
DANC,3530,Dance Composition II (Spring),2
DANC,3950,Methods in Performing Arts Education (Spring - Even Years),3
DANC,4500,Dance History II: Aesthetics & Criticism (Spring - Even Years),3
DANC,4530,Principles of Choreography (Fall),2
DANC,4900,Advanced Methods in Dance Education (Fall - Even Years),2
DANC,4915,Advanced Methods in Dance Education Lab (Fall - Even Years),1
THEA,4751,Capstone,3
DANC,1170,Social Dance,1
DANC,2320,Jazz Dance III (Fall),2
DANC,2350,Ballet III (Fall),2
DANC,2360,Modern Dance III (Spring),2
DANC,3320,Jazz Dance IV (Spring),2
DANC,3350,Ballet IV (Spring),2
DANC,3360,Modern Dance IV (Fall),2
DANC,4300,Dance Ensemble 1-2 Credit(s),2
DANC,1580,Tap Dance I (Fall),1
DANC,1590,Tap Dance II (Spring),1
DANC,3580,Tap Dance III (As Needed),1
DANC,4580,Tap Dance IV (As Needed),1
DANC,3340,Jazz Dance V (Fall),2
DANC,3370,Ballet V (Fall),2
DANC,3380,Modern Dance V (Spring),2
DANC,4340,Jazz Dance VI (Spring),2
DANC,4370,Ballet VI (Spring),2
DANC,4380,Modern Dance VI (Fall),2
DANC,4640,Special Projects in Dance 1-3 Credit(s),3
ELED,4000,Creative Arts Integration in Elementary Education,3
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
SCED,3180,Instructional Technology for Teaching and Learning 2-3 Credit(s),3
SCED,3720,Content Area Literacy and Utah Core,2
SCED,3570,Secondary Classroom Management,3
SCED,3590,"Instructional Planning, Delivery, and Assessment",3
SCED,4520,Practicum/Induction Seminar,3
SCED,4980,Secondary Student Teaching,6
