Subject,Course Number,Name,Credits
MATH,1040,Statistical Inference * (can be used to fulfill General Education Quantitative Literacy requirement),4
MATH,1050,College Algebra * (can be used to fulfill General Education Quantitative Literacy requirement),4
MGMT,2000,Professional Development,3
ECON,2010,Principles of Microeconomics,3
ECON,2020,Principles of Macroeconomics,3
ECON,3020,Intermediate Macroeconomics,3
ECON,3150,Principles of Econometrics,3
ECON,4950,Senior Seminar,3
ECON,3000,Intermediate Microeconomics,3
ECON,3010,Managerial Economics,3
