Subject,Course Number,Name,Credits
ENGR,1050,Introduction to Engineering Design,1
CHEM,1210,Principles of Chemistry I (can be used to fulfill General Education Physical Sciences Breadth Area),4
CHEM,1215,Principles of Chemistry I Lab (can be used to fulfill General Education Physical Sciences Breadth Area),1
EE,2250,Electric Circuits I,3
EE,2255,Electric Circuits I Lab,1
EE,2290,Electric Circuits II,3
EE,2295,Electric Circuits II Lab,1
EE,2780,Digital Circuits I,3
EE,3030,Electronics,3
EE,3035,Electronics Lab,1
EE,3080,Digital Circuits II,3
EE,3100,Introduction to Signal Processing,3
EE,3760,Electronic Design and Fabrication,3
EE,3780,Applications of Microprocessors,3
EE,4055,Capstone Design,3
EE,4100,Power Electronics,3
EE,4310,Feedback Control,3
EE,4600,Electromagnetics,3
ENGR,2170,Programming for Engineers,3
MATH,1210,Calculus I * (can be used to fulfill General Education Quantitative Literacy),4
MATH,1220,Calculus II,4
MATH,2210,Calculus III,4
MATH,2250,Linear Algebra and Differential Equations,4
MATH,3700,Probability and Statistics,4
ME,3055,Engineering Design,3
ME,3320,Mechatronics,3
ME,3325,Mechatronics Lab,1
PHYS,2210,Physics for Scientists and Engineers I (can be used to fulfill General Education Physical Science Breadth Area),4
PHYS,2215,Physics for Scientists and Engineers I Lab (can be used to fulfill General Education Physical Science Breadth Area),1
PHYS,2220,Physics for Scientists and Engineers II,4
PHYS,2225,Physics for Scientists and Engineers II Lab,1
COMM,4240,Technical Writing,3
ENGL,3120,Grant and Technical Writing,3
CCET,2690,Fundamentals of Manufacturing,3
EET,1600,Robotics and Automation I,3
EET,3710,OP-AMPS/Linear Integrated Circuits,3
EET,3720,Communication Circuits,3
EET,3790,Computer Interfacing,3
ENGR,1030,Computer-Aided Design and Analysis Using Solidworks,3
ENGR,2010,Statics,3
ENGR,4900,Special Topics 1-3 Credit(s),3
ME,2030,Dynamics,3
ME,2130,Manufacturing,2
ME,3030,Dynamic Systems Modeling,3
