Subject,Course Number,Name,Credits
ENGL,2400,Introduction to Literary Studies,3
ENGL,2700,Introduction to Critical Theory,3
ENGL,2030,Methods of Teaching Grammar,3
ENGL,2900,Methods of Teaching Writing,3
ENGL,3210,American Literature I,3
ENGL,3215,American Literature II,3
ENGL,3220,American Literature III,3
ENGL,3235,British Literature II,3
ENGL,3240,British Literature III,3
ENGL,3280,Young Adult Literature for Educators,3
ENGL,4900,Methods of Teaching English,3
ENGL,4820,Teaching Senior Capstone,3
ENGL,4310,Major Authors,3
ENGL,4320,Shakespeare: [TOPIC],3
ENGL,2130,Imaginative Literature,3
ENGL,2200,Literature and Culture,3
ENGL,2210,Folk and Oral Traditions,3
ENGL,2230,Mythology,3
ENGL,3110,Literature and Film,3
ENGL,3230,British Literature I,3
ENGL,3260,Continental European Literature,3
ENGL,3270,World Literature: Non-Western,3
ENGL,3290,Contemporary Literature,3
ENGL,4110,Literary Genres,3
ENGL,4210,Literary History,3
ENGL,4310,Major Authors (IF you took ENGL 4320 - Shakespeare: [TOPIC] OR you take two (2) different Major Authors),3
ENGL,4320,Shakespeare: [TOPIC] (IF you took ENGL 4310 - Major Authors ),3
ENGL,4510,Topics in Literature,3
ENGL,2320,Creative Writing in the Genres,3
ENGL,3010,Intermediate Poetry Writing,3
ENGL,3030,Intermediate Fiction Writing,3
ENGL,3040,Intermediate Creative Nonfiction Writing,3
ENGL,4140,Topics in Creative Writing,3
ENGL,4010,Advanced Poetry Writing,3
ENGL,4020,Advanced Fiction Writing,3
ENGL,4030,Advanced Creative Nonfiction Writing,3
ENGL,1410,Introduction to Grammar,3
ENGL,2040,Writing in Professional Contexts,3
ENGL,3120,Grant and Technical Writing,3
ENGL,3860,History and Theory of Rhetoric,3
ENGL,4160,Special Topics in Rhetoric and Writing (must be repeated once with a different topic for a total of 6 credits),3
ENGL,2023,Screen Aesthetics,3
ENGL,3023,Film Theory,3
ENGL,4150,Topics in Cinema: [TOPIC],3
THEA,1023,Introduction to Film,3
ENGL,3110,Literature and Film,3
ENGL,2150,US Narrative Film,3
LANG,3250,World Cinema,3
COMM,1130,Writing for Communication,3
ENGL,1410,Introduction to Grammar,3
ENGL,2040,Writing in Professional Contexts,3
COMM,1070,Introduction to Visual Communication Graphics,3
COMM,3080,Digital Design,3
COMM,4240,Technical Writing,3
ENGL,3120,Grant and Technical Writing,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
EDUC,2200,Educational Psychology,3
PSY,3220,Adolescent Development (requires PSY 1010 as a prerequisite),3
ENGL,4980,Student Teaching,3
SCED,4520,Practicum/Induction Seminar,3
SCED,4980,Secondary Student Teaching,6
