Subject,Course Number,Name,Credits
ENVS,1000,Introduction to Environmental Science and Sustainability,3
GEO,1020,Dinosaurs and the History of Life,3
GEO,1030,"Earthquakes, Volcanoes, and Natural Hazards",3
GEO,1050,Geology of National Parks,3
GEO,1055,Geology National Parks Lab,1
GEO,1090,How the Earth Works,3
GEO,1095,How the Earth Works Lab,1
GEO,1110,Exploring Earth: Introduction to Geology,3
GEO,1115,Fundamentals of Geology Lab,1
GEO,2210,Geology of Southern Utah,3
GEO,2215,Geology of Southern Utah Lab,1
GEOG,1000,Earth’s Natural Environments: Physical Geography,3
GEOG,1005,Earth’s Natural Environments: Physical Geography Lab,1
BIOL,1610,General Biology I (can be used to fulfill General Education Life Sciences requirement),3
BIOL,1615,General Biology Lab I (can be used to fulfill General Education Life Sciences requirement),1
BIOL,1620,General Biology II,3
BIOL,1625,General Biology Lab II,1
BIOL,3030,Ecology,3
BIOL,3035,Ecology Lab,1
CHEM,1210,Principles of Chemistry I,4
CHEM,1215,Principles of Chemistry I Lab,1
CHEM,1220,Principles of Chemistry II,4
CHEM,1225,Principles of Chemistry II Lab,1
GEO,3010,Environmental Geology,3
GEO,3015,Environmental Geology Lab,1
GEO,3610,Hydrology,3
GEO,3615,Hydrology Lab,1
GEOG,2800,Introduction to GIS and Cartography,4
GEOG,3400,Environmental Geography,3
MATH,1210,Calculus I * (can be used to fulfill General Education Quantitative Literacy requirement),4
ENVS,4800,Senior Capstone,3
ENVS,4890,Environmental Science Internship 1-8 Credit(s),8
GEO,4800,Senior Project,3
GEOG,4500,Geospatial Research Project (Capstone Project),3
AGSC,3560,Soil Science,3
AGSC,3565,Soil Science Lab,1
BIOL,3060,Genetics,3
BIOL,3065,Genetics Lab,1
CHEM,3700,Environmental Chemistry,3
ENVS,4000,Selected Field Trips 0.5-3 Credit(s) (up to 3 credits maximum),3
GEO,3170,Oceanography,3
GEO,3175,Oceanography Lab,1
GEOG,3110,The Earth from Space: Intro to Remote Sensing,4
GEOG,3220,Weather and Climate,3
GEOG,3225,Weather and Climate Lab,1
GEOG,3270,Biogeography,3
GEOG,3350,Geomorphology,3
GEOG,3355,Geomorphology Lab,1
GEOG,3550,Spatial Analysis,4
RANG,4200,Wildland Ecology (requires additional prerequisite),3
AGSC,1010,Agriculture and Society,3
ANTH,3500,Environmental Anthropology (requires additional prerequisite),3
ENVS,3000,Research Methods in Environmental Science,3
ENVS,4900,Environmental Policy: NEPA,3
GEOG,1300,Globalization in the 21st Century: World Regional Geography,3
GEOG,3600,Geography of Utah,3
HSS,1200,Introduction to Sustainability Studies,3
NR,1010,Introduction to Natural Resources Management,3
NR,3000,Wildlife Ecology and Management,3
ORPT,3030,Foundations of Recreation Resources Management,3
ORPT,3060,Behavioral Aspects of Outdoor Recreation,3
ORPT,4600,Outdoor Recreation Policy and Planning,3
POLS,3410,Public Administration,3
PSY,3500,Environmental Psychology (requires additional prerequisite),3
RANG,3600,Range Management,3
RANG,3605,Range Management Lab,1
SOC,3410,Environmental Sociology,3
