Subject,Course Number,Name,Credits
ART,1050,Introduction to Photography (can be used to fulfill General Education Fine Arts Breadth Area),3
ART,1120,2-D Design (can be used to fulfill General Education Fine Arts Breadth Area),3
ART,1130,3-D Design,3
ARTH,2720,Art History Survey II (can be used to fulfill General Education Humanities Breadth Area),3
THEA,1023,Introduction to Film (can be used to fulfill General Education Fine Arts Breadth Area),3
ART,1110,Drawing I,3
ARTH,2910,History of Experimental Film and Video Art,3
ENGL,1523,Storytelling,3
ENGL,2023,Screen Aesthetics,3
ENGL,2150,US Narrative Film,3
ENGL,2523,Writing for the Screen,3
ENGL,3023,Film Theory,3
FILM,1100,Personal Cinema,3
FILM,2100,Filmmaking Fundamentals,3
FILM,2200,Subtext for the Screen,3
FILM,2300,Editing for the Screen,3
FILM,2400,Sound for the Screen,3
FILM,3100,Cinematography: Imaging Systems and Optics for the Screen,3
FILM,3110,Cinematography: Advanced Imaging Systems and Lighting,3
FILM,3190,Film Crew 1-3 Credit(s) (must complete 2 credits),3
FILM,3200,Directing for the Screen,3
FILM,3500,Producing for the Screen,3
FILM,3900,Thesis Film Development,3
FILM,4500,Business of Film,3
FILM,4900,Film Thesis Production,3
FILM,4910,Film Thesis Post-Production,3
LANG,3250,World Cinema,3
ART,3510,Visual Development **,3
ART,3520,Narrative Illustration **,3
AVTN,1130,Unmanned Aerial Systems Basics,3
AVTN,1135,Unmanned Aircraft LOS and BLOS Flight Lab,2
COMM,4760,Advanced Video and Film Production **,3
ENGL,3110,Literature and Film,3
FILM,4150,Topics in Filmmaking,3
FILM,4890,Filmmaking Internship 1-6 Credit(s),6
FREN,3100,Conversation Through Film **,3
GERM,3100,Conversation Through Film **,3
GERM,3610,Weimar Cinema and Beyond **,3
SOC,3530,Documentary Filmmaking on Social Issues,3
SPAN,3100,Conversation Through Film **,3
