Subject,Course Number,Name,Credits
FREN,1010,Beginning French I,4
FREN,1020,Beginning French II,4
FREN,1030,Accelerated French I,4
FREN,2010,Intermediate French I,4
FREN,2020,Intermediate Grammar and Conversation,4
FREN,2030,Accelerated French II,4
FREN,3010,Advanced Conversation,3
FREN,3100,Conversation Through Film,3
FREN,3210,Advanced French Grammar,3
FREN,3220,Composition and Discussion,3
FREN,3230,Advanced Vocabulary Study,3
FREN,3410,Advanced French Phonetics and Pronunciation,3
FREN,3640,Topics in French Language,3
FREN,3921,Study Abroad: French Language II,3
FREN,4510,Introduction to Translation,3
FREN,3510,History and Culture of Premodern France,3
FREN,3512,History and Culture of Modern France,3
FREN,3923,Study Abroad: French Culture,3
FREN,4210,French Poetry,3
FREN,4220,French Novel and Short Story,3
FREN,4230,French Theater,3
FREN,4640,Topics in French Studies (may be repeated once for credit),3
LANG,3250,World Cinema,3
