Subject,Course Number,Name,Credits
GEO,1010,Geology Introductory Survey,3
GEO,1020,Dinosaurs and the History of Life,3
GEO,1030,"Earthquakes, Volcanoes, and Natural Hazards",3
GEO,1050,Geology of National Parks,3
GEO,1055,Geology National Parks Lab,1
GEO,1090,How the Earth Works,3
GEO,1095,How the Earth Works Lab,1
GEO,1110,Exploring Earth: Introduction to Geology,3
GEO,1115,Fundamentals of Geology Lab,1
GEO,2210,Geology of Southern Utah,3
GEO,2215,Geology of Southern Utah Lab,1
GEO,1220,Historical Geology,3
GEO,1225,Historical Geology Lab,1
GEO,3210,Mineralogy,3
GEO,3215,Mineralogy Lab,1
GEO,3330,Igneous-Metamorphic Petrology,3
GEO,3335,Igneous-Metamorphic Petrology Lab,1
GEO,3410,Sedimentology and Stratigraphy,3
GEO,3415,Sedimentology and Stratigraphy Lab,1
GEO,3510,Structural Geology,3
GEO,3515,Structural Geology Lab,1
GEO,3610,Hydrology,3
GEO,3615,Hydrology Lab,1
GEO,4000,Selected Field Trips 0.5-3 Credit(s) (students must obtain 2 credits from this course to meet degree requirements),3
GEO,4800,Senior Project,3
GEO,4960,Field Geology,6
GEO,4990,Seminar in Geology,1
CHEM,1210,Principles of Chemistry I,4
CHEM,1215,Principles of Chemistry I Lab,1
CHEM,1220,Principles of Chemistry II,4
CHEM,1225,Principles of Chemistry II Lab,1
GEOG,2800,Introduction to GIS and Cartography,4
MATH,1210,Calculus I * (can be used to fulfill General Education Quantitative Literacy),4
MATH,1220,Calculus II,4
PHYS,2210,Physics for Scientists and Engineers I,4
PHYS,2215,Physics for Scientists and Engineers I Lab,1
PHYS,2220,Physics for Scientists and Engineers II,4
PHYS,2225,Physics for Scientists and Engineers II Lab,1
GEO,3010,Environmental Geology,3
GEO,3015,Environmental Geology Lab,1
GEO,3110,Paleontology,3
GEO,3115,Paleontology Lab,1
GEO,3120,Tectonics,3
GEO,4070,Applied Geochemistry,3
GEOG,3350,Geomorphology,3
GEOG,3355,Geomorphology Lab,1
GEOG,3550,Spatial Analysis,4
GEOG,4150,Advanced Geographic Information Systems Methods,4
