Subject,Course Number,Name,Credits
GEO,1010,Geology Introductory Survey,3
GEO,1020,Dinosaurs and the History of Life,3
GEO,1030,"Earthquakes, Volcanoes, and Natural Hazards",3
GEO,1050,Geology of National Parks,3
GEO,1055,Geology National Parks Lab,1
GEO,1090,How the Earth Works,3
GEO,1095,How the Earth Works Lab,1
GEO,1110,Exploring Earth: Introduction to Geology,3
GEO,1115,Fundamentals of Geology Lab,1
GEO,2210,Geology of Southern Utah,3
GEO,2215,Geology of Southern Utah Lab,1
CHEM,1210,Principles of Chemistry I,4
CHEM,1215,Principles of Chemistry I Lab,1
GEO,1220,Historical Geology,3
GEO,1225,Historical Geology Lab,1
GEO,3210,Mineralogy,3
GEO,3215,Mineralogy Lab,1
GEO,3410,Sedimentology and Stratigraphy,3
GEO,3415,Sedimentology and Stratigraphy Lab,1
GEO,3510,Structural Geology,3
GEO,3515,Structural Geology Lab,1
GEO,4800,Senior Project,3
GEO,4960,Field Geology,6
MATH,1050,College Algebra,4
MATH,1060,Trigonometry,3
GEO,3010,Environmental Geology,3
GEO,3015,Environmental Geology Lab,1
GEO,3110,Paleontology,3
GEO,3115,Paleontology Lab,1
GEO,3120,Tectonics,3
GEO,3330,Igneous-Metamorphic Petrology,3
GEO,3335,Igneous-Metamorphic Petrology Lab,1
GEO,3610,Hydrology,3
GEO,3615,Hydrology Lab,1
GEO,4000,Selected Field Trips 0.5-3 Credit(s) (up to 3 credits),3
GEO,4070,Applied Geochemistry,3
GEO,4990,Seminar in Geology,1
GEOG,3350,Geomorphology,3
GEOG,3355,Geomorphology Lab,1
AGSC,3560,Soil Science,3
AGSC,3565,Soil Science Lab,1
AGSC,3700,Principles of Irrigated Soils,3
AGSC,3705,Principles of Irrigated Soils Lab,1
RANG,3600,Range Management,3
RANG,3605,Range Management Lab,1
RANG,3800,Wildland Plant Identification,3
RANG,3805,Wildland Plant Identification Lab,1
RANG,4200,Wildland Ecology,3
RANG,4400,Wildland Restoration,3
RANG,4405,Wildland Restoration Lab,1
BIOL,1610,General Biology I,3
BIOL,1615,General Biology Lab I,1
BIOL,1620,General Biology II,3
BIOL,1625,General Biology Lab II,1
BIOL,2050,Southern Utah Flora,3
BIOL,2500,Environmental Biology,3
BIOL,3030,Ecology,3
BIOL,3035,Ecology Lab,1
BIOL,3060,Genetics,3
BIOL,3065,Genetics Lab,1
BIOL,3110,Evolution,3
BIOL,3270,Vertebrate Physiology,3
BIOL,3275,Vertebrate Physiology Lab,1
BIOL,3290,Developmental Biology,3
BIOL,3295,Developmental Biology Lab,1
BIOL,3370,Ichthyology,3
BIOL,3375,Ichthyology Lab,1
BIOL,3390,Mammalogy,3
BIOL,3395,Mammalogy Lab,1
BIOL,3410,Invertebrate Zoology,3
BIOL,3415,Invertebrate Zoology Lab,1
BIOL,3430,Entomology,3
BIOL,3435,Entomology Lab,1
BIOL,3450,Comparative Vertebrate Studies,3
BIOL,3455,Comparative Vertebrate Studies Lab,1
BIOL,3470,Herpetology,3
BIOL,3475,Herpetology Lab,1
BIOL,3490,Ornithology,3
BIOL,3495,Ornithology Lab,1
BIOL,3510,Plant Anatomy and Diversity,3
BIOL,3515,Plant Anatomy and Diversity Lab,1
BIOL,3530,Plant Physiology,3
BIOL,3535,Plant Physiology Lab,1
BIOL,3550,Plant Taxonomy,3
BIOL,3555,Plant Taxonomy Lab,1
BIOL,3630,Freshwater Biology,3
BIOL,3635,Freshwater Biology Lab,1
CHEM,1220,Principles of Chemistry II,4
CHEM,1225,Principles of Chemistry II Lab,1
CHEM,3000,Quantitative Analysis,3
CHEM,3005,Quantitative Analysis Lab,1
CHEM,3700,Environmental Chemistry,3
CHEM,4230,Instrumental Analysis,3
CHEM,4240,Analysis Laboratory,2
COMM,1070,Introduction to Visual Communication Graphics,3
COMM,1130,Writing for Communication,3
COMM,1270,Critical Thinking and Message Analysis,3
COMM,2120,"Team Work, Decision Making, and Leadership",3
COMM,4240,Technical Writing,3
CS,1400,Fundamentals of Programming,3
CS,1410,Object Oriented Programming,3
CS,2420,Introduction to Algorithms and Data Structures,3
CS,3000,Advanced Algorithms and Data Structures,3
CS,3150,C and C++ Programming,3
CSCY,3200,Database Design and Management,3
ENGL,1410,Introduction to Grammar,3
ENGL,2040,Writing in Professional Contexts,3
ENGL,2400,Introduction to Literary Studies,3
ENGL,2700,Introduction to Critical Theory,3
ENGL,3120,Grant and Technical Writing,3
GEOG,2800,Introduction to GIS and Cartography,4
GEOG,2900,Geospatial Field Methods: GPS and Drones,3
GEOG,3110,The Earth from Space: Intro to Remote Sensing,4
GEOG,3550,Spatial Analysis,4
GEOG,4150,Advanced Geographic Information Systems Methods,4
GEOG,4400,Geospatial Capstone Proposal,1
GEOG,4500,Geospatial Research Project (Capstone Project),3
GEOG,4890,GIS Internship 2-8 Credit(s) (up to 8 credits),8
MATH,1040,Statistical Inference,4
MATH,1210,Calculus I,4
MATH,1220,Calculus II,4
MATH,2210,Calculus III,4
ORPT,2040,Americans in the Outdoors,3
ORPT,2800,"Park, Recreation, and Tourism Professions",3
ORPT,3030,Foundations of Recreation Resources Management,3
ORPT,3040,Leadership in Outdoor Recreation,3
ORPT,3050,Risk Management and Safety for Outdoor Recreation,3
ORPT,3060,Behavioral Aspects of Outdoor Recreation,3
ORPT,4030,Interdisciplinary Outdoor Education,3
PHYS,2210,Physics for Scientists and Engineers I,4
PHYS,2215,Physics for Scientists and Engineers I Lab,1
PHYS,2220,Physics for Scientists and Engineers II,4
PHYS,2225,Physics for Scientists and Engineers II Lab,1
