Subject,Course Number,Name,Credits
ENVS,1000,Introduction to Environmental Science and Sustainability,3
GEOG,1300,Globalization in the 21st Century: World Regional Geography,3
GEOG,1400,Human Geography,3
GEOG,1000,Earth’s Natural Environments: Physical Geography (can be used to fulfill General Education Physical Sciences Breadth Area),3
GEOG,1005,Earth’s Natural Environments: Physical Geography Lab (can be used to fulfill General Education Physical Sciences Breadth Area),1
GEOG,2800,Introduction to GIS and Cartography,4
GEOG,3110,The Earth from Space: Intro to Remote Sensing,4
GEOG,3400,Environmental Geography,3
GEOG,3550,Spatial Analysis,4
GEOG,3600,Geography of Utah,3
GEOG,4150,Advanced Geographic Information Systems Methods,4
GEOG,4400,Geospatial Capstone Proposal,1
GEOG,4500,Geospatial Research Project (Capstone Project),3
GEOG,2860,Open Source GIS,3
GEOG,2900,Geospatial Field Methods: GPS and Drones,3
GEOG,2950,Web GIS,3
GEOG,2980,Geospatial Programming with Python,3
AVTN,1100,Private Pilot Ground School,4
AVTN,1131,Introduction to Uncrewed Aircraft Systems,3
AVTN,1136,Uncrewed Aircraft Intermediate Flight Lab,2
AVTN,2516,Uncrewed Aircraft Mission Lab,2
CCET,1010,Introduction to Engineering and Technical Design,3
CCET,1040,Introduction to Residential Architecture Using AutoCAD,3
CCET,2240,Plane Surveying and GPS **,2
CCET,2245,Plane Surveying and GPS Lab **,1
CCET,3670,Civil Design,3
CS,1030,Foundations of Computer Science,3
CS,1400,Fundamentals of Programming,3
CS,1410,Object Oriented Programming,3
CS,2420,Introduction to Algorithms and Data Structures,3
CSCY,1200,Critical Thinking for Logic and Design,3
CSCY,2400,Technology and Ethics,3
GEO,2210,Geology of Southern Utah,3
GEO,2215,Geology of Southern Utah Lab,1
GEO,3010,Environmental Geology,3
GEO,3015,Environmental Geology Lab,1
GEO,3170,Oceanography,3
GEO,3175,Oceanography Lab,1
GEO,3610,Hydrology,3
GEO,3615,Hydrology Lab,1
GEOG,2860,Open Source GIS (if not completed in the Core),3
GEOG,2900,Geospatial Field Methods: GPS and Drones (if not completed in the Core),3
GEOG,2920,Workshop 1-3 Credit(s),3
GEOG,2950,Web GIS (if not completed in the Core),3
GEOG,2980,Geospatial Programming with Python (if not completed in the Core),3
GEOG,3220,Weather and Climate,3
GEOG,3225,Weather and Climate Lab,1
GEOG,3270,Biogeography,3
GEOG,3350,Geomorphology,3
GEOG,3355,Geomorphology Lab,1
GEOG,3990,Undergraduate Research in Geography/GIS 2-8 Credit(s),8
GEOG,4830,Readings and Conferences 1-4 Credit(s),4
GEOG,4890,GIS Internship 2-8 Credit(s),8
GEOG,4900,Teaching Methods of Geography,2
GEOG,4920,Geography Workshop 1-3 Credit(s),3
GEOG,5570,Physical Geography Summer Workshop 0.5-5 Credit(s),5
BIOL,2500,Environmental Biology,3
BIOL,3030,Ecology **,3
BIOL,3035,Ecology Lab **,1
NR,1010,Introduction to Natural Resources Management,3
NR,3000,Wildlife Ecology and Management,3
RANG,3600,Range Management,3
RANG,3605,Range Management Lab,1
RANG,4200,Wildland Ecology,3
POLS,3410,Public Administration,3
SOC,3800,Urban Sociology **,3
SOC,3410,Environmental Sociology,3
