Subject,Course Number,Name,Credits
ART,1090,Creative Foundations,1
ART,1110,Drawing I,3
ART,1120,2-D Design,3
ART,1130,3-D Design,3
ART,1800,Photography Principles: Black and White / Darkroom,3
ART,2110,Drawing II,3
ART,2210,Digital Tools,3
ARTH,2710,Art History Survey I,3
ARTH,2720,Art History Survey II,3
ART,3210,Typography I,3
ART,3230,Graphic Design I,3
ART,3240,Typography II,3
ART,3250,User Experience Design I,3
ART,4230,Graphic Design II,3
ART,4240,Junior/Senior Design Studio,3
ART,4250,User Experience Design II,3
ART,4790,Senior BFA Studio I: Professional Practices and Portfolio Systems,3
ART,4800,Senior BFA Studio II: BFA Exhibition and Portfolio Completion,3
ART,4890,Internship 0.5-12 Credit(s) (must take 3 credits total),12
ARTH,3750,History of Non-Western Art,3
ARTH,4700,History of Graphic Design,3
ARTH,3760,Contemporary Art,3
ARTH,4750,20th-Century Art,3
ART,3260,Publication Design,3
ART,3550,3D Digital Illustration,3
ART,4210,Branding,3
ART,4220,Drawing for Designers,3
ART,4260,Motion Graphics,3
ART,4290,Special Topics in Design,3
ART,4300,Interaction Design,3
ART,4320,Letterpress,3
ART,4890,Internship 0.5-12 Credit(s),12
ART,4990,Senior Seminar - Specific Area of Study 0.5-4 Credit(s),4
ART,1610,Beginning Ceramics,3
ART,2410,Painting I,3
ART,2500,Introduction to Illustration,3
ART,2800,Advanced Black and White Photography,3
ART,3310,Intaglio/Lithography *,3
ART,3320,Silkscreen/Relief *,3
ARTH,2500,Introduction to Art History,3
COMM,2010,Media and Society,3
CSCY,2000,Web Development,3
