Subject,Course Number,Name,Credits
THEA,1033,Acting I: Introduction to Acting,3
THEA,1113,Voice and Diction I,3
THEA,1713,Script Analysis,3
THEA,1813,Design Analysis,3
THEA,2713,Dramatic Literature,3
THEA,3613,Directing I,3
THEA,3713,Theatre History: The Classic Theatre,3
THEA,3723,"Theatre History: Realism, Post-Realistic, and Contemporary Theatre",3
THEA,4890,Internship 3-12 Credit(s),12
DANC,2080,Improvisation,1
THEA,1041,Performance Seminar,1
THEA,1221,Make-Up for the Actor,1
THEA,1613,Theatrical Production,3
THEA,1641,Theatrical Production Lab,1
THEA,2033,Acting II,3
THEA,2112,Movement I,2
THEA,3033,Acting III: Shakespeare,3
THEA,4140,Rehearsal and Performance 1-3 Credit(s) (must take for minimum of 2 credits),3
THEA,4412,Acting VI: Professional Portfolio,3
THEA,4471,BFA Showcase,3
DANC,1170,Social Dance,1
DANC,1520,Cross-Cultural Dance,1
DANC,2070,Dance for Musical Theatre I,2
DANC,3070,Dance for Musical Theatre II,2
MUSC,1150,Class Piano I,1
MUSC,1160,Class Piano II,1
MUSC,1110,Music Theory I (co-req MUSC 1130),3
MUSC,1130,Aural Skills I,1
MUSC,1400,Individual Applied Music Instruction (must take 2 times),1
THEA,2411,MT Group Applied Voice (must take 2 times),1
THEA,3411,MT Applied Voice 1-2 Credit(s) (must take 12 times),2
THEA,3133,Acting IV: Musical Theatre I/Audition,3
THEA,4163,Acting V: Musical Theatre II,3
