Subject,Course Number,Name,Credits
POLS,1100,American National Government,3
POLS,2000,Research Methods in Political Science,3
POLS,2005,Research Methods in Political Science Lab,1
POLS,2300,Introduction to Political Thought,3
POLS,4890,Internship 1-12 Credit(s) (3 credits must be obtained to meet degree requirements),12
POLS,4990,Capstone Seminar in Political Science,3
POLS,2100,Introduction to International Relations,3
POLS,2200,Introduction to Comparative Politics,3
POLS,3110,American Presidency: Executive Process,3
POLS,3120,Courts,3
POLS,3130,American Legislative Process and Behavior,3
POLS,3010,Current Political Issues,3
POLS,3030,State and Local Government,3
POLS,3110,American Presidency: Executive Process (if not used in the required courses),3
POLS,3120,Courts (if not used in the required courses),3
POLS,3130,American Legislative Process and Behavior (if not used in the required courses),3
POLS,3410,Public Administration,3
POLS,3500,Identity Politics,3
POLS,3510,Constitutional Law,3
POLS,3520,Civil Rights and Liberties,3
POLS,3620,National Security Policy,3
POLS,4100,Special Topics in American Politics and Policy,3
POLS,4210,History of Political Thought,3
POLS,4510,Politics and Religion,3
POLS,4660,American Foreign Policy,3
LEGL,1100,Introduction to Law,3
LEGL,1500,Family Law,3
LEGL,1700,Torts,3
LEGL,1900,Civil Procedure,3
LEGL,2100,Estate Planning and Probate Law,3
LEGL,2400,Real Estate and Property Law,3
LEGL,2600,Business and Corporate Law,3
POLS,3120,Courts,3
POLS,3510,Constitutional Law,3
POLS,3520,Civil Rights and Liberties,3
POLS,4210,History of Political Thought,3
POLS,4320,Special Topics in Law (only 3 credits may be used to meet the Track requirements),3
POLS,4610,International Law and Organization,3
POLS,2100,Introduction to International Relations,3
POLS,2200,Introduction to Comparative Politics,3
POLS,3010,Current Political Issues,3
POLS,3100,"Parties, Elections, and Voting Behavior",3
POLS,3410,Public Administration,3
POLS,3440,Introduction to the Middle East,3
POLS,3500,Identity Politics,3
POLS,3620,National Security Policy,3
POLS,3670,Comparative Public Policy,3
POLS,4300,Special Topics in World Affairs (repeatable for credit),3
POLS,4330,Special Topics in Comparative Politics (repeatable for credit),3
POLS,4600,Theories of International Relations,3
POLS,4610,International Law and Organization,3
POLS,4660,American Foreign Policy,3
POLS,4700,International Conflict,3
