Subject,Course Number,Name,Credits
HIST,1500,World History to 1500 C.E.,3
HIST,1510,World History 1500 C.E. to Present,3
HIST,2700,United States 1607-1876,3
HIST,2710,United States 1877-Present,3
HIST,3870,History of Utah,3
HIST,3000,American Indian History,3
HIST,3620,African American History to 1877,3
HIST,3630,African American History Since 1877,3
HIST,3700,Latin American Civilization,3
HIST,3880,History of the American Southwest,3
HIST,4600,"Women in Ancient, Medieval, and Early Modern Europe",3
HIST,4760,The History of Gender in Early America to 1865,3
HIST,4780,The History of Gender in America Since 1865,3
ANTH,1010,Cultural Anthropology,3
ANTH,2030,Introduction to Archaeology,3
ECON,2010,Principles of Microeconomics (prereq for ECON 3840 ),3
ECON,2020,Principles of Macroeconomics,3
ECON,3840,Public Finance,3
GEOG,1000,Earth’s Natural Environments: Physical Geography,3
GEOG,1300,Globalization in the 21st Century: World Regional Geography,3
POLS,3010,Current Political Issues,3
POLS,3030,State and Local Government,3
POLS,1100,American National Government,3
POLS,3510,Constitutional Law,3
PSY,1010,General Psychology (prereq for upper-division PSY courses),3
PSY,3210,Infant and Child Development,3
PSY,3220,Adolescent Development,3
SOC,1010,Introduction to Sociology,3
SOC,1020,Modern Social Problems,3
SOSC,4900,Teaching Social Science Subjects,3
SOSC,4980,Student Teaching,3
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
SPED,2030,Educating Exceptional Students,3
SCED,3180,Instructional Technology for Teaching and Learning 2-3 Credit(s),3
SCED,3720,Content Area Literacy and Utah Core,2
SCED,3570,Secondary Classroom Management,3
SCED,3590,"Instructional Planning, Delivery, and Assessment",3
SCED,4520,Practicum/Induction Seminar,3
SCED,4980,Secondary Student Teaching,6
