Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
ELEM,Major in Elementary Education,,OK,OK,OK,OK,OK,OK
EESL,English as a Second Language Concentration,,OK,OK,,,,
MM,Special Education Mild/Moderate Concentration,,OK,OK,OK,OK,OK,OK
MTHS,Mathematics Concentration,,OK,OK,OK,OK,OK,OK
FLHD,Major in Family Life & Human Development,,OK,OK,OK,OK,OK,OK
ECD,Early Childhood Development Concentration,,OK,OK,OK,OK,OK,OK
FMST,Family Studies Concentration,,,OK,OK,OK,OK,OK
FS,Family Services Concentration,,OK,OK,OK,OK,OK,OK
PSW,Pre-Social Work,,,,OK,OK,OK,OK
SOCW,Major in Social Work,,,,OK,OK,OK,OK
,,,,,,,,
MINORS,,,,,,,,
ECD,Minor in Early Childhood Development,,OK,OK,OK,OK,OK,OK
FS,Minor in Family Services,,OK,OK,OK,OK,OK,OK
SPED,Minor in Special Education,,OK,OK,OK,OK,OK,OK
