Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
AG,Major in Agriculture,,,OK,OK,OK,OK,OK
AGBU,Agribusiness Concentration,,,OK,OK,OK,OK,OK
AGED,Agriculture Education Concentration,,,OK,OK,OK,OK,
ASIN,Animal Science & Industries Concentration,,,OK,OK,OK,OK,OK
GENA,General Agriculture Concentration,,,OK,OK,OK,OK,OK
NRRM,Natural Resources/Range Mgmt Concentration,,,OK,OK,OK,OK,OK
PSIN,Plant Science & Industries Concentration,,,OK,OK,OK,OK,OK
AGED,Major in Agriculture Education,,,,,,,OK
AGIN,Major in Agricultural Science and Industry,,OK,,,,,
AGBU,Agribusiness Concentration,,OK,,,,,
AGED,Agriculture Education,,OK,,,,,
ASIN,Animal Science & Industries Concentration,,OK,,,,,
GENA,General Agriculture Concentration,,OK,,,,,
NRRM,Natural Resources/Range Mgmt Concentration,,OK,,,,,
PSIN,Plant Science & Industries Concentration,,OK,,,,,
EXSC,Major in Exercise Science,,OK,OK,OK,OK,OK,OK
PATH,Pre-Athletic Training Concentration,,,,,,,OK
HUNU,Major in Human Nutrition,,OK,OK,OK,OK,OK,OK
ALHE,Allied Health Concentration,,OK,OK,OK,OK,OK,OK
DIET,Dietetics Concentration,,,,,,OK,OK
PDET,Pre-Dietetics Concentration,,OK,OK,OK,OK,,
IHS,Major in Integrative Health Sciences,,,,,,,OK
NURS,Major in Nursing BSN,,OK,OK,OK,OK,OK,OK
HBSN,Health Professionals to BSN Concentration,,,,OK,OK,OK,OK
LPNB,LPN to BSN Concentration,,,OK,,,,
PLIC,Pre-Licensure Concentration,,,OK,OK,OK,OK,OK
RNBS,RN to BSN Concentration,,,OK,OK,OK,OK,OK
RNMS,RN to MSN Concentration,,,,,,OK,OK
ORPT,Major in Outdoor Recreation in Parks & Tourism,,OK,OK,OK,OK,OK,OK
NNR,Natural Resource Recreation Concentration,,OK,OK,OK,OK,OK,OK
OE,Outdoor Education Concentration,,OK,OK,OK,OK,OK,OK
ORT,Outdoor Recreation Tourism Concentration,,OK,OK,OK,OK,OK,OK
PDET,Pre-Dietetics,,,,,,OK,OK
PE,Major in Physical Education,,,,,,OK,OK
COCH,Coaching Concentration,,,,,,OK,OK
TE,Teaching Concentration,,,,,,OK,OK
PETC,Major in Physical Education Teaching/Coaching,,OK,OK,OK,OK,,
PNUR,Pre-Nursing,,OK,OK,OK,OK,OK,OK
,,,,,,,,
MINORS,,,,,,,,
AG,Minor in Agriculture,,OK,OK,OK,OK,OK,OK
EXSC,Minor in Exercise Science,,,,,OK,OK,OK
HE,Minor in Health Education,,OK,OK,OK,OK,OK,OK
HUNU,Minor in Human Nutrition,,OK,OK,OK,OK,OK,OK
ORPT,Minor in Outdoor Recreation in Parks & Tourism,,OK,OK,OK,OK,OK,OK
PE,Minor in Physical Education,,,,,,OK,OK
PEAC,Minor in Physical Education Teaching/Coaching,,OK,OK,OK,OK,,
PEEX,Minor in Physical Education Exercise Science,,OK,OK,OK,,,
SCCH,Minor in Sports Coaching,,,,,,OK,OK
