Unnamed: 0,Unnamed: 1,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
MAJORS,,,,,,,,
BIOL,Major in Biology,,OK,OK,OK,OK,OK,OK
BIOT,Major in Biology Education,,OK,OK,OK,OK,OK,OK
BSED,Major in Biological Sciences Education,,,,,,,OK
CHEM,Major in Chemistry,,OK,OK,OK,OK,OK,OK
FRCH,Forensic Chemistry Concentration,,OK,,,,,
HC,Health Care Concentration,,OK,OK,OK,OK,OK,OK
LAB,Laboratory Science Concentration,,,,OK,OK,OK,OK
PROF,Professional Concentration,,OK,OK,OK,OK,OK,OK
CHET,Major in Chemistry Teacher Education,,,,,,OK,
CHME,Major in Chemistry Education,,OK,OK,OK,OK,,OK
ENSC,Major in Environmental Science,,,,,OK,OK,OK
ESTD,Major in Environmental Studies,,,,,OK,OK,OK
GEO,Major in Geosciences,,OK,OK,OK,OK,OK,OK
GEOL,Major in Geology,,OK,OK,OK,OK,OK,OK
GSPC,Major in Geospatial Science,,,,,OK,OK,OK
PHSE,Major in Physics Education,,,,,,,OK
PSTE,Major in Physical Science Education,,OK,OK,OK,OK,OK,
,,,,,,,,
MINORS,,,,,,,,
BIOL,Minor in Biology,,OK,OK,OK,OK,OK,OK
CHEM,Minor in Chemistry,,OK,OK,OK,OK,OK,OK
CHME,Minor in Chemistry Education,,OK,OK,OK,OK,OK,OK
GEGE,Minor in Geography Education,,,,,,,OK
GEGT,Minor in Geography Teacher Education,,OK,OK,OK,OK,OK,
GELT,Minor in Geology Teaching,,OK,OK,,,,
GEOG,Minor in Geography,,OK,OK,OK,OK,OK,OK
GEOL,Minor in Geology,,,,OK,OK,OK,OK
PHSC,Minor in Physics,,OK,OK,OK,OK,OK,OK
PHSE,Minor in Physics Education,,,,,,,OK
PHST,Minor in Physics Teacher Education,,OK,OK,OK,OK,OK,
