Subject,Course Number,Name,Credits
MATH,1050,College Algebra * (can be used to fulfill General Education Quantitative Literacy),4
CSCY,1200,Critical Thinking for Logic and Design,3
CS,1400,Fundamentals of Programming,3
CS,1410,Object Oriented Programming,3
CSCY,2000,Web Development,3
CSCY,2400,Technology and Ethics (can be used to fulfill General Education Social/Behavioral Science Breadth Area),3
CS,2420,Introduction to Algorithms and Data Structures,3
CS,2450,Software Engineering,3
CS,2810,Computer Organization and Architecture,3
CSCY,1450,Security Scripting,3
CYBR,2500,Data Communications and Networking,3
CYBR,2750,Systems Security,3
