Subject,Course Number,Name,Credits
SPAN,1010,Beginning Spanish I,4
SPAN,1020,Beginning Spanish II,4
SPAN,1030,Accelerated Spanish I,4
SPAN,2010,Intermediate Spanish I,4
SPAN,2020,Intermediate Spanish II,4
SPAN,3210,Advanced Spanish Grammar and Composition,3
SPAN,3300,Introduction to Literary Studies,3
LANG,3250,World Cinema (taught in English),3
SPAN,3000,Intermediate Conversation and Grammar,3
SPAN,3100,Conversation Through Film,3
SPAN,3116,Spanish Pop Culture **,3
SPAN,3117,"Breaking Down Walls, Building Identities **",3
SPAN,3118,Literature and Film: Contemporary Issues **,3
SPAN,3212,Advanced Spanish Grammar and Comp II,3
SPAN,3510,Culture and History of Spain,3
SPAN,3512,Culture and History of Latin America,3
SPAN,3610,Conversation and Special Topics,3
SPAN,4100,Healthcare and Society in the Spanish-Speaking World,3
SPAN,4210,Spanish Peninsular Literature 12th-18th Century,3
SPAN,4212,Spanish Peninsular Literature 19th-21st Century,3
SPAN,4310,Spanish American Literature 15th-19th Century,3
SPAN,4312,Spanish American Literature 20th-21st Century,3
SPAN,4314,"Latin American Women: Literature, Film, and Culture",3
SPAN,4316,U.S. Latina/o Literature and Culture,3
SPAN,4318,Soccer and Society in Latin America,3
SPAN,4400,Introduction to Spanish Linguistics,3
SPAN,4410,Introduction to Hispanic Sociolinguistics,3
SPAN,4510,Introduction to Spanish Translation,3
SPAN,4610,Special Topics in Hispanic Studies *,3
SPAN,4890,Internship 1-5 Credit(s),5
SPAN,4920,Spanish Workshop/Study Abroad 1-5 Credit(s),5
