Subject,Course Number,Name,Credits
EDRG,2520,Foundations of Elementary Literacy Instruction,3
EDUC,2100,Principles of Curriculum and Instruction,3
EDUC,2200,Educational Psychology,3
EDUC,2400,"Schools, Society, and Diversity",3
FLHD,1500,Human Development through the Lifespan,3
FLHD,2600,Foundations in Early Childhood Education,3
FLHD,4350,"Fostering Family, School, and Community Partnerships",3
SPED,2030,Educating Exceptional Students,3
MATH,1050,College Algebra,4
MATH,2010,Math for Elementary Education I,3
MATH,2020,Math for Elementary Education II,3
MATH,1210,Calculus I,4
MATH,3010,Math for Secondary Education I,3
MATH,3020,Math for Secondary Education II,3
ECED,2950,Integrated Curriculum and Assessment: PreK-3,3
EDRG,3010,"Language Acquisition, Early Literacy, and Phonics",3
ELED,3180,Instructional Technology for Teaching and Learning,3
ELED,4000,Creative Arts Integration in Elementary Education,3
EESL,4310,Introduction to ESL & Bilingual Education,3
SPED,4120,Creating and Managing a Learning Environment,3
SPED,4160,Assessment for Learning and Data Driven Decisions for Special Education,3
ELED,3460,Methods of Language Arts,3
ELED,3470,Methods of Mathematics,3
ELED,3480,"Methods of Science, Physical Education, and Health",3
ELED,3490,Methods of Social Studies,3
ELED,3570,Motivation and Management of Diverse Instructional Environments,3
ELED,4500,Practicum/Induction Seminar,2
ELED,4980,Elementary Student Teaching,10
SPED,4980,ELED/SPED Student Teaching,10
