Major Code,Major Name Registrar,Major Name Web,2018 (2024),2019 (2025),2020 (2026),2021 (2027),2022 (2028),2023 (2029),2024 (2030)
ACCT,Major in Accounting,"Accounting (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
BE,Major in Business Education,"Business Education (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
ECON,Major in Economics,"Economics (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
ANLY,Business Analytics Concentration,"Economics - Business Analytics Emphasis (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
FIN,Major in Finance,"Finance (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
HRHM,"Major in Hotel, Resort & Hospitality Mgmt",,,OK,OK,OK,OK,OK,OK
EVNT,Event Planning and Management Concentration,"Hotel, Resort, and Hospitality Management - Event Planning and Management Emphasis (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
FABM,Food and Beverage Management Concentration,"Hotel, Resort, and Hospitality Management - Food and Beverage Management Emphasis (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
LODG,Lodging Management Concentration,"Hotel, Resort, and Hospitality Management - Lodging Management Emphasis (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
MGMT,Major in Management,"Management (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
MKTG,Major in Marketing,"Marketing (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
AERO,Major in Aerospace/Aviation Sciences,,,OK,OK,OK,OK,OK,OK
FXWG,Fixed-Wing Pilot Concentration,Aerospace/Aviation Sciences - Fixed-Wing Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
RTWG,Rotor-Wing Pilot Concentration,Aerospace/Aviation Sciences - Rotor-Wing Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
AVAL,Major in Aviation Administration and Leadership,"Aviation Administration and Leadership (B.A., B.S.)",,,,OK,OK,OK,OK
CIEN,Major in Civil Engineering,Civil Engineering (B.S.),,,,,OK,OK,OK
CENG,Construction Engineering Concentration,Civil Engineering - Construction Engineering Emphasis (B.S.),,,,,,,OK
ENEN,Environmental Engineering Concentration,Civil Engineering - Environmental Engineering Emphasis (B.S.),,,,,,,OK
WRE,Water Resources Engineering Concentration,Civil Engineering - Water Resources Engineering Emphasis (B.S.),,,,,,,OK
CNMT,Major in Construction Management,"Construction Management (B.A., B.S.)",,OK,OK,OK,OK,OK,OK
CS,Major in Computer Science,Computer Science (B.S.),,OK,OK,OK,OK,OK,OK
CYBR,Major in Cybersecurity,Cybersecurity (B.S.),,,,OK,OK,OK,OK
DATA,Major in Data Science,Data Science (B.S.),,,,,,,OK
ELEN,Major in Electrical Engineering,Electrical Engineering (B.S.),,,,,,,OK
ENTC,Major in Engineering Technology,,,OK,OK,OK,OK,OK,OK
ARCD,CAD Architectural/Civil Design Concentration,Engineering Technology - CAD-Architectural/Civil Design Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
CCET,CAD/CAM Concentration,Engineering Technology - CAD/CAM Emphasis (B.S.),,OK,OK,OK,OK,OK,OK
EET,Electronics Concentration,,,OK,OK,OK,,,
ELMC,Electromechanical Concentration,Engineering Technology - Electromechanical Emphasis (B.S.),,,,,OK,OK,OK
FITC,Major in Financial Technology,Financial Technology (B.S.),,,,,,,OK
IENG,Major in Engineering, ,,OK,OK,OK,,,
CIVE,Civil Engineering Concentration,,,,,OK,,,
ELCE,Electrical Engineering Concentration,,,,,OK,,,
